id,name,email,role,area,manager_id,phone
p091,Sebastian Albornoz,sebastian.albornoz@bind.com.ar,Lider Operaciones Bind Pagos,Bind Pagos,p011,+549112001091
p092,Maria Espina,maria.espina@bind.com.ar,Gerente Comercial Bind Pagos,Bind Pagos,p011,+549112001092
p100,Ramiro Bermejo,ramiro.bermejo@bind.com.ar,Gerente de Administracion y Finanzas Garantias,Bind Garantias,p012,+549112001100
p101,Belen Urquiza,belen.urquiza@bind.com.ar,CEO Bind Garantias,Bind Garantias,p012,+549112001101
p102,Bruno Tagle,bruno.tagle@bind.com.ar,Gerente de Legales y Operaciones,Bind Garantias,p012,+549112001102
p103,Ignacio Zorrilla,ignacio.zorrilla@bind.com.ar,Gerente de Innovacion y Transformacion Digital,Bind Garantias,p012,+549112001103
p104,Wenceslao Kuhl,wenceslao.kuhl@bind.com.ar,Gerente de Monetizadores,Bind Garantias,p012,+549112001104
p105,Damian Fernandez,damian.fernandez@bind.com.ar,Gerente de Creditos Garantias,Bind Garantias,p012,+549112001105
p110,Damian Cabrera,damian.cabrera@bind.com.ar,Comercial,Bind Inversiones,p024,+549112001110
p111,Rocio Fonseca,rocio.fonseca@bind.com.ar,Ejecutivo de Inversiones,Bind Inversiones,p024,+549112001111
p112,Matias Solano,matias.solano@bind.com.ar,Asistente Comercial,Bind Inversiones,p024,+549112001112
p113,Ramiro Mendoza,ramiro.mendoza@bind.com.ar,Oficial Comercial Juridico,Bind Inversiones,p024,+549112001113
p114,Florencia Quesada,florencia.quesada@bind.com.ar,Oficial Comercial Individuos,Bind Inversiones,p024,+549112001114
p115,Gonzalo Wagner,gonzalo.wagner@bind.com.ar,Comercial,Bind Inversiones,p024,+549112001115
p116,Amparo Eyras,amparo.eyras@bind.com.ar,Ejecutivo de Inversiones,Bind Inversiones,p024,+549112001116
p117,Camila Aceval,camila.aceval@bind.com.ar,Comercial,Bind Inversiones,p024,+549112001117
p118,Constanza Eyras,constanza.eyras@bind.com.ar,"Jefe de Productos, Gestion de datos y Marketing",Bind Inversiones,p024,+549112001118
p119,Emiliano Urzua,emiliano.urzua@bind.com.ar,Lider de Negocios Digitales,Bind Inversiones,p024,+549112001119
p120,Renata Xirau,renata.xirau@bind.com.ar,Aprendiz,Bind Inversiones,p024,+549112001120
p130,Federico Quesada,federico.quesada@bind.com.ar,Responsable de Conciliaciones y Operaciones,Bind Pagos,p091,+549112001130
p131,Wenceslao Lozano,wenceslao.lozano@bind.com.ar,Soporte Operativo,Bind Pagos,p091,+549112001131
p132,Cesar Quesada,cesar.quesada@bind.com.ar,Analista,Bind Pagos,p091,+549112001132
p133,Octavio Gomez,octavio.gomez@bind.com.ar,Auxiliar Administrativa,Bind Pagos,p091,+549112001133
p134,Luciana Jorge,luciana.jorge@bind.com.ar,Team Lider Mesa de Ayuda,Bind Pagos,p091,+549112001134
p135,Mariana Kuhl,mariana.kuhl@bind.com.ar,Responsable de Mesa de Ayuda,Bind Pagos,p091,+549112001135
p136,Sara Zamudio,sara.zamudio@bind.com.ar,Lider QA,Bind Pagos,p091,+549112001136
p137,Sara Paz,sara.paz@bind.com.ar,Soporte Operaciones y Compliance,Bind Pagos,p091,+549112001137
p138,Gabriela Rosales,gabriela.rosales@bind.com.ar,Soporte de MDA de Bind PSP,Bind Pagos,p091,+549112001138
p139,Olivia Carrizo,olivia.carrizo@bind.com.ar,Analista de Conciliaciones,Bind Pagos,p091,+549112001139
p140,Gonzalo Yapura,gonzalo.yapura@bind.com.ar,Lider de Proyectos de Medios de Pago,Bind Pagos,p091,+549112001140
p141,Luciana Wong,luciana.wong@bind.com.ar,Analista,Bind Pagos,p091,+549112001141
p142,Vicente Acevedo,vicente.acevedo@bind.com.ar,Analista Contable,Bind Pagos,p091,+549112001142
p143,Mateo Sanguinetti,mateo.sanguinetti@bind.com.ar,Soporte Mesa de Ayuda,Bind Pagos,p091,+549112001143
p144,Malena Beltran,malena.beltran@bind.com.ar,Soporte Operativo,Bind Pagos,p091,+549112001144
p145,Romina Xavier,romina.xavier@bind.com.ar,Soporte Operativo,Bind Pagos,p091,+549112001145
p146,Santiago Hidalgo,santiago.hidalgo@bind.com.ar,Analista,Bind Pagos,p091,+549112001146
